$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,9,2026,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,9,2026,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,9,2026,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,10,2026,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,10,2026,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,10,2026,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,11,2026,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,11,2026,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,11,2026,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,11,2026,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,11,2026,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,11,2026,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,11,2026,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,11,2026,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,12,2026,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,12,2026,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,12,2026,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,12,2026,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,12,2026,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,12,2026,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,12,2026,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,12,2026,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,1,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,1,2027,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,1,2027,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,1,2027,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,1,2027,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,1,2027,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,1,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,1,2027,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,2,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,2,2027,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,2,2027,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,2,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,2,2027,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,2,2027,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,2,2027,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,2,2027,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,3,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,3,2027,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,3,2027,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,3,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,3,2027,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,3,2027,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,3,2027,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,3,2027,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,4,2027,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,4,2027,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,4,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,4,2027,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,4,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,4,2027,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,4,2027,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,4,2027,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,5,2027,62,TUCURUI_146,275,52,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,5,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,5,2027,63,TUCURUI_147,275,54,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,5,2027,65,TUCURUI_149,275,71,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,5,2027,7,B.MONTE_C150,314,195,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,5,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,5,2027,6,B.MONTE_C152,314,194,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
1,5,2027,64,TUCURUI_148,275,70,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,6,2027,61,TUCURUI_145,275,50,0,5,0,2946.2,0,1707,0,0,0,0,0,0,0,0,0,0
1,6,2027,5,B.MONTE_C151,314,193,0,2,0,822,0,77.7,0,0,0,0,0,0,0,0,0,0
